RAdeg,DEdeg,e_RAdeg,e_DEdeg,Field,nobs,mobs,B_V,e_B_V,Vmag,e_Vmag,u_e_Vmag,Bmag,e_Bmag,u_e_Bmag,gmag,e_gmag,u_e_gmag,rmag,e_rmag,u_e_rmag,imag,e_imag,u_e_imag
0.345154,-0.907018,0.216,0.185,20160136,3,15,1.418,0.09,13.399,0.075,0.0,14.818,0.049,0.0,14.146,0.035,0.0,12.823,0.08,0.0,12.211,0.061,0.0
0.419892,-0.842144,0.647,0.664,20160136,4,16,0.957,0.081,15.166,0.08,0.0,16.123,0.008,0.0,15.543,0.059,0.0,14.997,0.077,0.0,14.692,0.027,0.0
0.473494,-0.816053,0.133,0.206,20110001,5,23,0.952,0.056,12.115,0.055,0.0,13.067,0.012,0.0,12.572,0.04,0.0,11.841,0.075,0.0,11.538,0.086,0.0
0.458648,-0.823049,0.159,0.166,20160136,4,18,0.937,0.058,13.51,0.052,0.0,14.447,0.026,0.0,13.958,0.031,0.0,13.229,0.071,0.0,12.9,0.076,0.0
0.487324,-0.811101,0.26,0.142,20110001,5,21,0.769,0.056,13.328,0.052,0.0,14.097,0.022,0.0,13.702,0.038,0.0,13.145,0.072,0.0,12.899,0.077,0.0
0.626706,-0.766071,0.108,0.343,20110001,5,21,0.734,0.043,12.727,0.036,0.0,13.461,0.024,0.0,13.041,0.037,0.0,12.536,0.062,0.0,12.319,0.094,0.0
0.604379,-0.766841,0.652,0.405,20160136,4,18,0.673,0.062,14.435,0.037,0.0,15.108,0.05,0.0,14.758,0.04,0.0,14.262,0.065,0.0,14.071,0.096,0.0
0.639773,-0.742735,0.584,0.82,20160136,4,16,0.959,0.041,15.313,0.0,0.0,16.272,0.041,0.0,15.793,0.052,0.0,14.903,0.088,0.0,14.537,0.089,0.0
0.650936,-0.746613,0.417,0.351,20160136,4,18,0.692,0.084,14.38,0.058,0.0,15.072,0.06,0.0,14.702,0.054,0.0,14.229,0.07,0.0,13.963,0.076,0.0
0.568911,-0.765222,0.264,0.277,20110001,5,21,0.581,0.047,13.047,0.032,0.0,13.628,0.035,0.0,13.329,0.028,0.0,12.93,0.068,0.0,12.759,0.097,0.0
0.681477,-0.619498,0.725,1.589,20160136,2,4,,,,,,,,,16.991,0.099,0.0,16.257,0.031,0.0,,,
359.641807,-0.922564,0.478,0.212,20160270,5,25,1.011,0.134,12.019,0.114,0.0,13.029,0.071,0.0,12.517,0.062,0.0,11.716,0.091,0.0,11.463,0.066,0.0
359.591426,-0.898196,0.66,1.107,20110001,2,5,0.473,0.041,16.764,0.0,1.0,17.236,0.041,0.0,16.864,0.0,1.0,16.433,0.0,1.0,,,
359.591326,-0.903021,0.391,0.283,20160270,5,22,0.75,0.136,13.073,0.106,0.0,13.823,0.086,0.0,13.437,0.067,0.0,12.875,0.069,0.0,12.724,0.083,0.0
359.56561,-0.877811,0.369,0.433,20160270,5,23,0.633,0.138,12.87,0.095,0.0,13.502,0.1,0.0,13.163,0.063,0.0,12.707,0.095,0.0,12.605,0.075,0.0
359.595431,-0.863869,0.423,0.08,20160270,5,25,0.619,0.135,11.339,0.103,0.0,11.958,0.087,0.0,11.64,0.07,0.0,11.193,0.07,0.0,11.107,0.071,0.0
359.501472,-0.847544,0.74,1.041,20160270,3,11,0.7,0.147,15.738,0.107,0.0,16.438,0.101,0.0,16.126,0.109,0.0,15.597,0.101,0.0,15.535,0.0,1.0
359.446497,-0.799659,0.618,0.249,20160270,4,20,0.758,0.127,13.536,0.101,0.0,14.294,0.076,0.0,13.904,0.07,0.0,13.336,0.089,0.0,13.216,0.082,0.0
359.321978,-0.663269,0.594,0.331,20160270,5,22,0.697,0.096,14.07,0.088,0.0,14.767,0.039,0.0,14.425,0.079,0.0,13.88,0.058,0.0,13.797,0.087,0.0
359.337743,-0.657251,0.437,0.203,20160270,5,23,0.674,0.107,13.265,0.094,0.0,13.939,0.051,0.0,13.589,0.072,0.0,13.076,0.067,0.0,12.962,0.071,0.0
359.29607,-0.649441,0.715,0.111,20160270,5,25,0.698,0.16,9.942,0.087,0.0,10.64,0.135,0.0,10.339,0.262,0.0,9.865,0.21,0.0,9.572,0.0,1.0
359.282091,-0.641831,0.699,0.881,20110001,2,9,0.697,0.168,15.307,0.168,0.0,16.004,0.0,0.0,15.649,0.071,0.0,15.068,0.073,0.0,15.193,0.0,1.0
0.06179,-0.989749,0.969,0.306,20110001,2,7,1.428,0.206,15.82,0.0,1.0,17.248,0.206,1.0,16.497,0.07,0.0,15.359,0.032,0.0,15.009,0.0,1.0
359.985862,-0.909321,0.693,0.426,20160270,4,20,1.263,0.131,14.52,0.113,0.0,15.782,0.066,0.0,15.167,0.037,0.0,14.092,0.093,0.0,13.642,0.096,0.0
0.248543,-0.962663,0.307,0.471,20110001,5,21,0.646,0.112,13.578,0.09,0.0,14.224,0.067,0.0,13.872,0.021,0.0,13.393,0.07,0.0,13.249,0.075,0.0
0.21647,-0.952839,1.248,0.818,20160270,4,17,1.369,0.316,15.523,0.049,0.0,16.892,0.312,0.0,16.253,0.111,0.0,15.096,0.067,0.0,14.723,0.104,0.0
0.158764,-0.97072,0.692,0.503,20160270,5,23,0.661,0.091,14.734,0.075,0.0,15.395,0.051,0.0,15.048,0.04,0.0,14.565,0.052,0.0,14.46,0.126,0.0
0.250442,-0.927167,0.949,0.951,20160136,3,10,1.038,0.121,15.687,0.0,1.0,16.725,0.121,1.0,16.32,0.089,0.0,15.285,0.062,0.0,14.992,0.0,0.0
0.230503,-0.939544,0.341,0.253,20160270,6,27,1.247,0.113,12.728,0.071,0.0,13.975,0.088,0.0,13.371,0.026,0.0,12.214,0.074,0.0,11.8,0.059,0.0
0.272439,-0.889297,0.783,0.425,20160270,4,14,0.741,0.089,15.006,0.077,0.0,15.746,0.043,0.0,15.375,0.013,0.0,14.76,0.071,0.0,14.698,0.076,0.0
0.276533,-0.832527,0.888,0.895,20160136,3,14,1.184,0.101,15.293,0.069,0.0,16.477,0.073,0.0,15.993,0.026,0.0,14.746,0.077,0.0,14.268,0.059,0.0
0.056008,-0.90203,0.336,0.118,20160270,5,25,0.761,0.117,11.107,0.092,0.0,11.868,0.073,0.0,11.467,0.053,0.0,10.921,0.073,0.0,10.779,0.075,0.0
0.092297,-0.844974,0.515,0.355,20160270,4,20,0.776,0.155,14.13,0.08,0.0,14.905,0.133,0.0,14.469,0.06,0.0,13.929,0.068,0.0,13.777,0.088,0.0
0.187988,-0.868788,0.267,0.157,20160270,5,22,0.808,0.099,13.545,0.068,0.0,14.353,0.072,0.0,13.889,0.028,0.0,13.328,0.057,0.0,13.186,0.085,0.0
0.194704,-0.838753,0.372,0.223,20160270,5,21,0.671,0.095,14.011,0.068,0.0,14.682,0.066,0.0,14.302,0.03,0.0,13.813,0.059,0.0,13.638,0.048,0.0
0.108011,-0.83098,0.693,0.714,20160270,4,17,0.836,0.086,15.165,0.084,0.0,16.001,0.018,0.0,15.527,0.072,0.0,14.922,0.058,0.0,14.733,0.011,0.0
359.859286,-0.983254,0.853,0.908,20110001,2,5,1.154,0.0,16.188,0.0,1.0,17.343,0.0,1.0,16.662,0.0,1.0,16.284,0.0,1.0,15.866,0.168,1.0
359.852778,-0.952818,1.282,0.519,20110001,2,9,0.596,0.083,15.806,0.038,0.0,16.402,0.074,0.0,16.097,0.109,0.0,15.662,0.122,0.0,15.252,0.0,1.0
359.843606,-0.927934,0.396,0.523,20160270,4,20,0.639,0.112,14.348,0.087,0.0,14.987,0.07,0.0,14.655,0.08,0.0,14.179,0.049,0.0,14.085,0.116,0.0
359.832599,-0.924605,0.537,0.22,20160270,5,22,0.681,0.107,12.944,0.086,0.0,13.625,0.064,0.0,13.265,0.069,0.0,12.771,0.078,0.0,12.665,0.082,0.0
359.908262,-0.93583,0.429,0.145,20160270,5,25,0.588,0.119,11.944,0.093,0.0,12.532,0.074,0.0,12.226,0.053,0.0,11.797,0.068,0.0,11.717,0.077,0.0
359.91271,-0.895853,0.756,0.658,20160270,3,11,0.653,0.198,15.245,0.197,0.0,15.898,0.017,0.0,15.57,0.105,0.0,15.095,0.087,0.0,14.762,0.0,1.0
359.913793,-0.923829,0.351,0.087,20160270,4,20,0.958,0.119,12.93,0.092,0.0,13.888,0.075,0.0,13.394,0.046,0.0,12.656,0.071,0.0,12.394,0.072,0.0
359.834346,-0.900269,0.45,0.388,20160270,3,15,0.78,0.083,14.656,0.076,0.0,15.436,0.033,0.0,15.061,0.023,0.0,14.518,0.063,0.0,14.38,0.068,0.0
359.790733,-0.88793,0.691,0.443,20160270,4,17,0.909,0.112,14.873,0.074,0.0,15.782,0.085,0.0,15.398,0.068,0.0,14.68,0.075,0.0,14.435,0.118,0.0
359.810806,-0.889799,0.542,0.348,20160270,4,20,0.601,0.129,14.533,0.093,0.0,15.134,0.09,0.0,14.81,0.052,0.0,14.364,0.08,0.0,14.233,0.117,0.0
359.694054,-0.896793,0.533,0.093,20160270,5,25,1.49,0.135,10.145,0.104,0.0,11.635,0.085,0.0,10.94,0.141,0.0,9.661,0.0,1.0,9.186,0.0,1.0
359.716569,-0.905097,1.059,1.071,20110001,2,4,,,,,,,,,16.442,0.043,0.0,15.745,0.082,0.0,,,
359.714987,-0.861895,0.634,0.13,20160270,5,25,0.93,0.116,11.795,0.101,0.0,12.725,0.058,0.0,12.237,0.068,0.0,11.521,0.071,0.0,11.308,0.074,0.0
359.8289,-0.828313,0.795,0.509,20160270,3,14,0.969,0.164,14.783,0.058,0.0,15.752,0.153,0.0,15.256,0.09,0.0,14.468,0.081,0.0,14.24,0.122,0.0
359.867625,-0.847936,0.716,1.032,20160270,2,4,,,,,,,,,16.456,0.088,0.0,15.999,0.037,0.0,,,
359.830604,-0.819098,0.566,0.334,20160270,5,24,0.606,0.12,12.848,0.092,0.0,13.454,0.077,0.0,13.122,0.057,0.0,12.687,0.076,0.0,12.603,0.081,0.0
359.846661,-0.807364,0.98,1.451,20160270,2,4,1.163,0.118,16.042,0.086,0.0,17.205,0.082,0.0,,,,,,,,,
359.768386,-0.835006,0.995,1.394,20160270,2,4,,,,,,,,,16.261,0.043,0.0,15.593,0.135,0.0,,,
0.016478,-0.85557,0.776,1.108,20110001,2,5,0.855,0.09,15.578,0.0,1.0,16.433,0.09,1.0,16.118,0.0,1.0,15.267,0.0,1.0,15.01,0.0,1.0
0.04281,-0.836969,1.191,0.694,20160270,4,15,0.692,0.075,15.305,0.066,0.0,15.997,0.035,0.0,15.639,0.089,0.0,15.124,0.012,0.0,15.223,0.0,1.0
0.047961,-0.804119,0.678,0.412,20160270,4,20,0.686,0.137,14.538,0.107,0.0,15.224,0.085,0.0,14.849,0.049,0.0,14.309,0.063,0.0,14.184,0.101,0.0
0.151184,-0.747321,0.714,0.545,20160270,4,17,1.027,0.078,15.17,0.075,0.0,16.196,0.021,0.0,15.728,0.064,0.0,14.848,0.086,0.0,14.51,0.074,0.0
0.152129,-0.729121,0.332,0.232,20160270,4,18,0.754,0.082,13.8,0.047,0.0,14.554,0.067,0.0,14.131,0.044,0.0,13.615,0.051,0.0,13.435,0.034,0.0
0.117251,-0.754578,0.347,0.232,20160270,5,21,0.597,0.104,13.845,0.059,0.0,14.442,0.085,0.0,14.115,0.063,0.0,13.725,0.021,0.0,13.63,0.079,0.0
0.106532,-0.698203,0.944,0.825,20110001,2,6,,,,,,,,,16.091,0.019,0.0,14.89,0.052,0.0,14.527,0.012,0.0
359.896468,-0.697362,0.42,0.711,20160270,2,6,0.472,0.165,15.987,0.038,0.0,16.459,0.16,0.0,16.212,0.0,1.0,15.949,0.0,1.0,,,
0.039462,-0.678249,0.792,1.081,20110001,2,9,0.868,0.086,15.592,0.07,0.0,16.46,0.05,0.0,15.996,0.068,0.0,15.369,0.041,0.0,15.128,0.0,1.0
0.017394,-0.653157,0.702,0.367,20160270,4,20,0.73,0.122,13.87,0.043,0.0,14.6,0.114,0.0,14.208,0.044,0.0,13.676,0.051,0.0,13.578,0.098,0.0
0.357779,-0.848653,0.461,0.695,20160136,3,15,0.637,0.152,14.665,0.043,0.0,15.302,0.146,0.0,14.974,0.031,0.0,14.526,0.084,0.0,14.356,0.027,0.0
0.381804,-0.810592,1.019,0.965,20160136,2,5,,,,,,,,,17.034,0.072,0.0,15.965,0.039,0.0,15.259,0.0,1.0
0.268829,-0.820464,0.445,0.202,20110001,5,19,0.722,0.087,13.263,0.066,0.0,13.985,0.056,0.0,13.576,0.03,0.0,13.059,0.063,0.0,12.936,0.043,0.0
0.325178,-0.791359,1.059,0.884,20160136,3,7,1.124,0.165,15.918,0.0,1.0,17.042,0.165,1.0,16.619,0.0,1.0,15.471,0.099,0.0,15.031,0.11,0.0
0.40513,-0.739043,0.279,0.181,20110001,5,23,0.898,0.053,12.887,0.041,0.0,13.785,0.034,0.0,13.331,0.028,0.0,12.621,0.067,0.0,12.302,0.08,0.0
0.379084,-0.745706,1.395,0.79,20160136,3,8,0.532,0.079,15.603,0.0,1.0,16.135,0.079,1.0,15.874,0.041,0.0,15.369,0.073,0.0,14.936,0.048,0.0
0.379346,-0.745631,0.871,0.993,20160136,2,7,0.887,0.056,15.458,0.022,0.0,16.345,0.052,0.0,15.89,0.0,1.0,15.233,0.0,1.0,14.985,0.0,1.0
0.449661,-0.70622,0.223,0.159,20110001,5,23,0.85,0.035,12.335,0.033,0.0,13.185,0.01,0.0,12.741,0.035,0.0,12.092,0.073,0.0,11.837,0.096,0.0
0.441176,-0.679063,0.398,0.394,20160136,4,18,1.057,0.037,14.446,0.028,0.0,15.503,0.025,0.0,15.004,0.049,0.0,14.103,0.085,0.0,13.698,0.052,0.0
0.271347,-0.74156,0.495,0.536,20160136,3,15,0.995,0.1,14.409,0.085,0.0,15.404,0.051,0.0,14.881,0.022,0.0,14.012,0.046,0.0,13.731,0.057,0.0
0.214395,-0.771511,0.506,0.28,20160270,5,20,0.723,0.067,13.708,0.047,0.0,14.431,0.048,0.0,14.018,0.03,0.0,13.501,0.048,0.0,13.364,0.067,0.0
0.395408,-0.686776,0.51,0.959,20160136,4,18,1.083,0.099,14.861,0.047,0.0,15.944,0.087,0.0,15.396,0.029,0.0,14.515,0.055,0.0,14.156,0.075,0.0
0.433857,-0.670194,0.698,1.128,20160136,4,16,0.742,0.113,15.601,0.102,0.0,16.343,0.049,0.0,15.958,0.048,0.0,15.292,0.018,0.0,15.046,0.083,0.0
0.369276,-0.667218,0.166,0.166,20160136,4,18,0.81,0.055,13.404,0.049,0.0,14.213,0.025,0.0,13.797,0.029,0.0,13.172,0.062,0.0,12.907,0.078,0.0
0.356787,-0.662215,0.685,1.082,20160136,3,8,1.242,0.125,15.5,0.0,1.0,16.743,0.125,1.0,16.353,0.126,0.0,15.004,0.014,0.0,14.536,0.061,0.0
0.357252,-0.639882,0.701,0.481,20160136,3,15,1.07,0.059,14.567,0.008,0.0,15.638,0.058,0.0,15.112,0.022,0.0,14.236,0.067,0.0,13.975,0.027,0.0
0.569688,-0.704365,0.351,0.235,20160136,4,18,0.668,0.055,14.075,0.047,0.0,14.743,0.029,0.0,14.385,0.016,0.0,13.912,0.052,0.0,13.656,0.091,0.0
0.590681,-0.678709,0.818,0.952,20160136,4,11,,,15.875,0.0,1.0,,,,16.3,0.102,0.0,15.675,0.082,0.0,15.629,0.219,0.0
0.481526,-0.652092,0.433,0.255,20110001,5,20,0.766,0.056,13.665,0.036,0.0,14.431,0.043,0.0,14.03,0.024,0.0,13.48,0.066,0.0,13.259,0.094,0.0
0.543772,-0.639491,0.993,0.568,20160136,4,15,0.893,0.034,15.597,0.02,0.0,16.49,0.027,0.0,16.013,0.027,0.0,15.266,0.056,0.0,14.892,0.038,0.0
0.565459,-0.635759,0.883,0.942,20160136,4,11,0.663,0.0,15.932,0.0,1.0,16.595,0.0,1.0,16.329,0.102,0.0,15.765,0.068,0.0,15.459,0.008,0.0
0.650536,-0.571392,0.309,0.146,20160136,4,18,0.934,0.032,14.035,0.008,0.0,14.969,0.031,0.0,14.51,0.035,0.0,13.731,0.07,0.0,13.399,0.094,0.0
0.63274,-0.539295,0.875,0.448,20160136,4,18,1.117,0.061,14.786,0.029,0.0,15.904,0.053,0.0,15.372,0.048,0.0,14.373,0.057,0.0,13.962,0.064,0.0
0.410867,-0.645827,0.472,0.435,20110001,5,20,0.682,0.063,13.995,0.054,0.0,14.677,0.033,0.0,14.297,0.05,0.0,13.8,0.059,0.0,13.56,0.094,0.0
0.41835,-0.635233,1.022,0.933,20160136,3,10,0.715,0.085,15.688,0.0,1.0,16.402,0.085,1.0,16.036,0.041,0.0,15.369,0.065,0.0,15.081,0.006,0.0
0.413509,-0.614044,0.405,0.479,20160136,3,11,1.576,0.14,15.366,0.0,1.0,16.942,0.14,1.0,16.186,0.083,0.0,14.844,0.093,0.0,13.606,0.025,0.0
0.383404,-0.603289,0.81,0.885,20160136,4,14,0.483,0.067,15.516,0.029,0.0,15.999,0.061,1.0,15.733,0.025,0.0,15.467,0.083,0.0,15.369,0.059,0.0
0.38398,-0.603796,1.128,0.789,20160136,2,2,,,,,,16.08,0.06,0.0,,,,,,,,,
0.454009,-0.555877,0.589,0.73,20160136,4,16,0.921,0.208,15.6,0.028,0.0,16.521,0.206,0.0,15.979,0.086,0.0,15.44,0.069,0.0,15.153,0.222,0.0
0.511713,-0.552572,0.258,0.193,20160136,4,18,0.658,0.037,13.754,0.026,0.0,14.412,0.027,0.0,14.048,0.029,0.0,13.582,0.055,0.0,13.357,0.09,0.0
0.485757,-0.515276,0.558,0.679,20160136,4,18,1.249,0.135,14.875,0.02,0.0,16.124,0.133,0.0,15.453,0.019,0.0,14.517,0.06,0.0,14.047,0.075,0.0
0.526779,-0.492018,0.533,0.796,20160136,2,5,,,,,,,,,16.131,0.061,0.0,15.697,0.006,0.0,15.587,0.0,1.0
0.556637,-0.485258,0.145,0.062,20110001,3,15,0.506,0.19,9.665,0.0,1.0,10.171,0.19,0.0,10.168,0.399,0.0,9.622,0.0,1.0,9.584,0.0,1.0
0.499027,-0.495849,0.29,0.378,20160136,4,18,1.235,0.05,14.319,0.031,0.0,15.554,0.039,0.0,14.948,0.051,0.0,13.886,0.055,0.0,13.454,0.091,0.0
0.22181,-0.677573,0.195,0.096,20110001,5,22,0.792,0.106,11.71,0.049,0.0,12.502,0.094,0.0,12.045,0.037,0.0,11.495,0.039,0.0,11.332,0.042,0.0
0.287547,-0.631434,0.312,0.597,20160136,3,15,0.696,0.073,14.708,0.047,0.0,15.404,0.055,0.0,14.996,0.043,0.0,14.538,0.079,0.0,14.275,0.053,0.0
0.260492,-0.631646,0.705,0.71,20160136,3,19,0.717,0.053,15.285,0.047,0.0,16.002,0.024,0.0,15.674,0.029,0.0,14.936,0.03,0.0,14.766,0.087,0.0
0.312515,-0.599251,0.565,0.728,20160136,3,14,1.085,0.08,15.103,0.066,0.0,16.189,0.046,0.0,15.694,0.046,0.0,14.708,0.033,0.0,14.333,0.043,0.0
0.320208,-0.606649,0.751,0.432,20160136,3,15,0.851,0.059,14.984,0.044,0.0,15.835,0.04,0.0,15.35,0.02,0.0,14.65,0.06,0.0,14.416,0.109,0.0
0.233381,-0.569856,0.986,0.899,20160136,3,9,0.774,0.174,15.737,0.167,0.0,16.512,0.05,0.0,16.079,0.031,0.0,15.623,0.157,0.0,,,
0.048146,-0.59662,1.603,0.505,20110001,2,3,0.841,0.125,15.996,0.0,1.0,16.837,0.125,1.0,,,,16.045,0.0,1.0,,,
0.049048,-0.596551,0.629,0.222,20110001,2,3,,,,,,,,,16.497,0.065,0.0,15.912,0.0,1.0,,,
0.018943,-0.598922,0.507,0.368,20160270,4,16,0.878,0.105,14.55,0.043,0.0,15.428,0.096,0.0,14.922,0.049,0.0,14.273,0.077,0.0,14.069,0.03,0.0
0.040295,-0.595103,0.691,0.678,20160270,3,14,0.834,0.141,14.729,0.114,0.0,15.563,0.082,0.0,15.075,0.044,0.0,14.457,0.065,0.0,14.238,0.064,0.0
0.066893,-0.550444,0.868,0.268,20160270,4,15,0.635,0.089,14.934,0.076,0.0,15.569,0.046,0.0,15.24,0.038,0.0,14.767,0.063,0.0,14.621,0.031,0.0
0.176626,-0.470599,1.158,1.021,20160270,4,14,0.644,0.125,15.373,0.087,0.0,16.017,0.09,0.0,15.65,0.028,0.0,15.261,0.061,0.0,14.953,0.073,0.0
0.286092,-0.506452,0.54,0.741,20160136,3,14,0.724,0.152,15.016,0.044,0.0,15.74,0.146,0.0,15.305,0.032,0.0,14.817,0.048,0.0,14.722,0.116,0.0
0.37776,-0.492681,0.96,1.162,20160136,3,9,1.458,0.356,16.53,0.0,1.0,17.987,0.356,1.0,17.188,0.016,0.0,15.869,0.008,0.0,14.903,0.161,0.0
0.386758,-0.47009,0.611,0.323,20160136,4,18,0.953,0.049,14.557,0.022,0.0,15.51,0.044,0.0,15.022,0.057,0.0,14.288,0.071,0.0,13.984,0.081,0.0
0.406622,-0.452757,0.831,1.258,20160136,2,4,,,,,,,,,17.007,0.047,0.0,16.103,0.101,0.0,,,
0.399296,-0.421462,1.19,0.913,20160136,3,11,0.631,0.125,15.8,0.111,0.0,16.431,0.057,0.0,16.167,0.07,0.0,15.759,0.083,0.0,15.173,0.0,1.0
0.318421,-0.471976,0.385,0.278,20160136,3,15,0.681,0.057,14.294,0.047,0.0,14.974,0.033,0.0,14.607,0.052,0.0,14.125,0.045,0.0,14.0,0.049,0.0
0.205839,-0.470385,0.71,0.64,20110001,2,10,0.615,0.073,15.005,0.073,0.0,15.621,0.0,0.0,15.273,0.008,0.0,14.815,0.019,0.0,14.652,0.081,0.0
0.35203,-0.338338,0.835,0.662,20160136,3,14,0.661,0.1,15.32,0.085,0.0,15.981,0.052,0.0,15.602,0.045,0.0,15.061,0.014,0.0,14.831,0.121,0.0
359.605991,-0.796141,1.085,0.795,20160270,3,10,0.733,0.128,15.694,0.124,0.0,16.427,0.029,0.0,16.038,0.067,0.0,15.59,0.114,0.0,,,
359.669834,-0.768818,0.517,0.152,20160270,4,20,0.798,0.124,13.79,0.071,0.0,14.588,0.102,0.0,14.17,0.057,0.0,13.599,0.074,0.0,13.445,0.059,0.0
359.682613,-0.71772,0.927,0.541,20160270,2,9,0.715,0.212,14.613,0.167,0.0,15.329,0.131,0.0,14.963,0.133,0.0,14.44,0.064,0.0,14.267,0.0,1.0
359.624392,-0.737093,0.762,0.175,20160270,5,23,0.801,0.162,13.59,0.081,0.0,14.391,0.141,0.0,13.98,0.045,0.0,13.374,0.094,0.0,13.249,0.079,0.0
